Algorithm,Size,InputType,Comparisons,MaxDepth,TimeNs
MergeSort,100,Random,648,4,72576
MergeSort,100,Sorted,244,4,31012
MergeSort,100,Reversed,724,4,61257
MergeSort,1000,Random,10252,7,213965
MergeSort,1000,Sorted,3956,7,102219
MergeSort,1000,Reversed,10300,7,156391
MergeSort,10000,Random,127072,11,2690451
MergeSort,10000,Sorted,59248,11,901836
MergeSort,10000,Reversed,93648,11,235183
MergeSort,50000,Random,769555,13,4400080
MergeSort,50000,Sorted,347008,13,1520461
MergeSort,50000,Reversed,579408,13,1667872
MergeSort,100000,Random,1639552,14,8802704
MergeSort,100000,Sorted,744016,14,3120290
MergeSort,100000,Reversed,1208816,14,3860097
QuickSort,100,Random,1057,3,124980
QuickSort,100,Sorted,956,4,96751
QuickSort,100,Reversed,999,4,18362
QuickSort,1000,Random,16558,5,239599
QuickSort,1000,Sorted,16286,6,204748
QuickSort,1000,Reversed,15900,6,201337
QuickSort,10000,Random,231835,8,1004231
QuickSort,10000,Sorted,230992,9,733208
QuickSort,10000,Reversed,236689,8,835297
QuickSort,50000,Random,1385853,9,5803046
QuickSort,50000,Sorted,1423782,10,3540733
QuickSort,50000,Reversed,1396941,10,3658292
QuickSort,100000,Random,2901819,10,10679483
QuickSort,100000,Sorted,3094922,10,8081817
QuickSort,100000,Reversed,3015759,10,7077558
